Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Labels,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Raised during),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
Reporting,JWP-36,10035,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,denisbittante,admin,15/Aug/16 12:34 AM,19/Jan/17 10:47 PM,24/Feb/18 2:42 PM,,,,0,Reporting,,,denisbittante,,,,,,,,,,{},ghx-label-13,,Reporting,,36,,0|i0007r:,,,,,,,,,
programoverview with notes spaces,JWP-76,10719,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Sep/16 1:50 AM,19/Jan/17 10:47 PM,24/Feb/18 2:42 PM,,1.2,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-99,,,,,0|i000fz:,,,,1.0,,,,,
Calendar with my task to do displayed,JWP-57,10700,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 6:50 PM,19/Jan/17 10:46 PM,24/Feb/18 2:42 PM,,1.1,,0,,The user should see his own assignemt in a different color on his calendar,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-98,,,,,0|i000br:,,,,1.0,,,,,
Startpage with Overview with my Assignments,JWP-58,10701,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 6:50 PM,19/Jan/17 10:46 PM,24/Feb/18 2:42 PM,,1.1,,0,,Means instead of calendar there should be the upcomming assignements ,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-98,,,,,0|i000bz:,,,,1.0,,,,,
The user wants to connect and download calendars,JWP-93,13108,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:56 PM,19/Jan/17 10:44 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-12,,iCalender implementation,To Do,,,0|i0011b:,,,,,,,,,
The user wants to download iCal of his Vacation,JWP-97,13112,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 10:44 PM,19/Jan/17 10:44 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-3,,Download iCal of Vacation,To Do,,,0|i0011r:,,,,,,,,,
the user wants to download an ical of a vacation,JWP-77,10720,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Sep/16 12:03 PM,19/Jan/17 10:44 PM,24/Feb/18 2:42 PM,,1.2,,0,,,,admin,57600,57600,,0%,57600,57600,,,,{},,JWP-97,,,,,0|i000g7:,,,,2.0,,,,,
History if Status =100 then <User> created on <Date>,JWP-65,10708,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 7:07 PM,19/Jan/17 10:35 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-75,,,,,0|i0000e:v,JwProgra Sprint 2,JwProgra Sprint 3,,1.0,,,,,
When created an assignment the Id for the assignment is null in the history so there will never be displayed in the history,JWP-81,10724,Bug,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Sep/16 9:08 PM,19/Jan/17 10:34 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,,,,,,,,,,{},,JWP-75,,,,,0|i0005n:,,,,,,,,,
"Session over, Login produces Error",JWP-83,10800,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,20/Sep/16 1:41 AM,19/Jan/17 10:29 PM,24/Feb/18 2:42 PM,,1.0,,0,,"Every time the session ends the user has to reauthenticate, while doing that he looses the context and the flow does not know the eventid anymore cause it is not in the request header anymore. The flow should be programmed so that in case the eventid is null he will be redirected to the homepage. ",,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-85,,,,,0|hzzzzj:,,,,,,,,,
Finish Datamodel,JWP-94,13109,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 10:24 PM,19/Jan/17 10:24 PM,24/Feb/18 2:42 PM,,,,0,,the Datamodel with only Assignments and the possibility to extend them to be events or Programms has to be implemented,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-91,,,,,0|hzzzyz:,JwProgra Sprint 4,,,,,,,,
The user wants to create assignments and edit them as also give them to others to do,JWP-91,13106,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:42 PM,19/Jan/17 10:24 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-6,,Assignments,To Do,,,0|i0010v:,,,,,,,,,
A Programmowner want to be able to define the accessright for a group,JWP-47,10046,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 1:09 AM,19/Jan/17 10:18 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,86400,86400,,0%,86400,86400,,,,{},,JWP-86,,,,,0|i0000e:o9,JwProgra Sprint 2,JwProgra Sprint 3,,3.0,,,,,
A Programowner want to connect a Program with a Group,JWP-46,10045,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 1:09 AM,19/Jan/17 10:17 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,86400,86400,,0%,86400,86400,,,,{},,JWP-86,,,,,0|i0000e:oi,JwProgra Sprint 2,JwProgra Sprint 3,,3.0,,,,,
Program detail load History,JWP-64,10707,Story,In Progress,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 7:07 PM,19/Jan/17 10:17 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,3600,3600,,0%,3600,3600,,,,{},,JWP-75,,,,,0|hzzzzn:,,,,1.0,,,,,
The admin wants to define the groups and add it to the different programs setting up who can read and who can edit an assignment ,JWP-72,10715,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 8:08 PM,19/Jan/17 10:17 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,144000,144000,,0%,144000,144000,,,,{},,JWP-86,,,,,0|i0000e:ov,JwProgra Sprint 2,JwProgra Sprint 3,,5.0,,,,,
